Input Sentence,Output Sentence,Rating

كي رحت للسوق، شريت الخوخ والماء,الترجمة عندما ذهبت إلى السوق اشتريت الخوخ والماء,1
راني حاب نخدم مشروع جديد وما زالني نخطط فيه,الترجمة أرغب في العمل على مشروع جديد وما زلت أفكر فيه.,1
واش تحتاج من الحانوت؟,الترجمة ماذا تحتاج من المتجر؟,1
? wech tbghi takoul,الترجمة ماذا تريد أن تقول؟,1
شوف هداك الطفل,الترجمة انظر إلى هذا الطفل,1
شوف هداك الطفل,الترجمة انظر الا دلك الصبي,1
salam,الترجمة سلام,1
wsh rakom,الترجمة كيف حالكم,1
lyoma l anniversaire ta3i,الترجمة اليوم هو عيد ميلادي,1
cbn,الترجمة اترك الامر,1
cbn arwah,الترجمة اترك الامر,0
cbn rwah,الترجمة غادرنا,0
rwah,الترجمة تعال,1
ليوم لماتش,الترجمة ليوم أمس,0
wech raki,الترجمة كيف حالك,1
